,Average Feed Rate,Average Travel Speed,Substrate Material,Wire Material,Synergy Profile,Warp
0,304.3103448275862,11.913793103448276,Low Carbon,SuperArc LA-90,0,2.7165680480084315e-08
1,306.07142857142856,11.875,304 SS,SuperArc LA-90,0,5.9560745149867274e-08
2,308.2142857142857,11.821428571428571,4140,SuperArc L56,0,4.102532768157988e-08
3,310.35714285714283,11.678571428571429,Low Carbon,SuperArc L56,0,2.4890735270427024e-08
4,303.44827586206895,11.913793103448276,304 SS,SuperArc L56,0,4.4448118702797503e-08
5,304.2857142857143,11.660714285714286,Low Carbon,SuperArc LA-75,0,5.143588758929622e-08
6,304.2857142857143,11.678571428571429,304 SS,SuperArc LA-75,0,4.750296037515889e-08
7,312.037037037037,12.037037037037036,4140,SuperArc L50,0,4.331396580309426e-08
8,305.89285714285717,11.803571428571429,Low Carbon,SuperArc L50,0,3.192035031528352e-08
9,313.39285714285717,11.892857142857142,304 SS,SuperArc L50,0,4.2315448785298826e-08
10,303.57142857142856,12.107142857142858,4140,BlueBax 308LSi,1,5.232607562315797e-08
11,308.0769230769231,12.076923076923077,Low Carbon,BlueBax 308LSi,1,3.624723500040164e-08
12,307.6923076923077,11.634615384615385,304 SS,BlueBax 308LSi,1,5.0731423617822766e-08
13,305.7142857142857,11.839285714285714,A572,BlueBax 308LSi,1,7.03600396574704e-08
